-121.8469206,37.399604,0
-121.8421999,37.390262,0
-121.8498389,37.3884207,0
-121.8561045,37.3824192,0
-121.8517868,37.3785974,0
-121.8507568,37.3793477,0
-121.8479244,37.3799615,0
-121.8422596,37.3835762,0
-121.8436329,37.3866452,0
-121.8407146,37.3906687,0
-121.839513,37.3891002,0
-121.8373672,37.3900549,0
-121.8381397,37.3914188,0
-121.8361656,37.3916916,0
-121.8325607,37.3935328,0
-121.8296425,37.3938737,0
-121.82784,37.3916916,0
-121.8262092,37.3921689,0
-121.8279259,37.395033,0
-121.8253509,37.3949648,0
-121.8235485,37.3940783,0
-121.8164245,37.3920325,0
-121.8097297,37.391487,0
-121.8095581,37.3923735,0
-121.8080131,37.3919644,0
-121.8078415,37.3946238,0
-121.8029491,37.394692,0
-121.8016617,37.3920325,0
-121.7956535,37.3934646,0
-121.7924778,37.400147,0
-121.7984859,37.4081924,0
-121.8152229,37.4033516,0
-121.831919,37.4060998,0
-121.8469206,37.399604,0
